NO,RGN_SORT,ENG_CLSF,USE_CLSF,YR_2019,YR_2018,YR_2017,YR_2016,YR_2015,UNIT
294,울산,연료전지,사업용,"9,746 ","14,688 ","18,612 ","16,801 ","21,061 ",MWh
295,울산,연료전지,자가용,"2,086 ","2,003 ","2,044 ","1,920 ","1,825 ",MWh
296,울산,IGCC,사업용,-,-,-,-,-,MWh
297,세종,신재생에너지 총발전량,사업용,"81,610 ","73,545 ","48,266 ","49,481 ","32,622 ",MWh
298,세종,신재생에너지 총발전량,자가용,"18,476 ","15,941 ","12,384 ","7,763 ","6,128 ",MWh
299,세종,태양광,사업용,"43,967 ","38,657 ","27,112 ","26,000 ","17,033 ",MWh
300,세종,태양광,자가용,"18,427 ","15,926 ","12,384 ","7,763 ","5,420 ",MWh
301,세종,풍력,사업용,-,-,-,-,-,MWh
302,세종,풍력,자가용,-,-,-,-,-,MWh
303,세종,수력,사업용,-,1 ,"6,529 ","8,041 ","10,007 ",MWh
304,세종,수력,자가용,-,-,-,-,-,MWh
305,세종,해양,사업용,-,-,-,-,-,MWh
306,세종,바이오가스,사업용,-,-,-,-,-,MWh
307,세종,바이오가스,자가용,-,-,-,-,-,MWh
308,세종,매립지가스,사업용,-,-,-,-,-,MWh
309,세종,매립지가스,자가용,-,-,-,-,-,MWh
310,세종,우드칩,사업용,-,-,-,-,-,MWh
311,세종,우드칩,자가용,-,-,-,-,-,MWh
312,세종,목재펠릿,사업용,-,-,-,-,-,MWh
313,세종,목재펠릿,자가용,-,-,-,-,-,MWh
314,세종,폐목재,사업용,-,-,-,-,-,MWh
315,세종,폐목재,자가용,-,-,-,-,-,MWh
316,세종,흑액,자가용,-,-,-,-,-,MWh
317,세종,하수슬러지고형연료,사업용,-,-,-,-,-,MWh
318,세종,Bio-SRF,사업용,"25,036 ","20,496 ","2,170 ","7,089 ",-,MWh
319,세종,Bio-SRF,자가용,-,-,-,-,-,MWh
320,세종,바이오중유,사업용,-,-,-,-,-,MWh
321,세종,폐가스,사업용,-,-,-,-,-,MWh
322,세종,폐가스,자가용,-,-,-,-,-,MWh
323,세종,산업폐기물,사업용,"3,000 ","3,562 ","9,403 ","5,464 ",-,MWh
324,세종,산업폐기물,자가용,-,-,-,-,-,MWh
325,세종,생활폐기물,사업용,-,-,-,-,-,MWh
326,세종,생활폐기물,자가용,-,-,-,-,708 ,MWh
327,세종,SRF,사업용,"9,607 ","10,829 ","3,053 ","2,887 ","5,582 ",MWh
328,세종,SRF,자가용,-,-,-,-,-,MWh
329,세종,시멘트킬른보조연료,자가용,-,-,-,-,-,MWh
330,세종,정제연료유,사업용,-,-,-,-,-,MWh
331,세종,연료전지,사업용,-,-,-,-,-,MWh
332,세종,연료전지,자가용,50 ,15 ,-,-,-,MWh
333,세종,IGCC,사업용,-,-,-,-,-,MWh
334,경기,신재생에너지 총발전량,사업용,"2,869,416 ","2,606,976 ","1,999,811 ","1,912,022 ","1,719,246 ",MWh
335,경기,신재생에너지 총발전량,자가용,"285,412 ","275,556 ","245,009 ","207,829 ","135,079 ",MWh
336,경기,태양광,사업용,"687,554 ","440,041 ","269,729 ","201,688 ","157,110 ",MWh
337,경기,태양광,자가용,"193,709 ","156,100 ","130,436 ","96,401 ","76,105 ",MWh
338,경기,풍력,사업용,"4,785 ","5,091 ","5,612 ","5,324 ","5,665 ",MWh
339,경기,풍력,자가용,49 ,54 ,52 ,48 ,49 ,MWh
340,경기,수력,사업용,"565,136 ","706,387 ","548,459 ","566,835 ","371,493 ",MWh
341,경기,수력,자가용,"1,496 ","1,387 ","1,572 ","1,490 ","1,385 ",MWh
342,경기,해양,사업용,"474,321 ","485,353 ","489,466 ","495,556 ","496,354 ",MWh
343,경기,바이오가스,사업용,"44,346 ","39,052 ","36,955 ","21,914 ","15,075 ",MWh
344,경기,바이오가스,자가용,"8,829 ","12,007 ","10,089 ","13,012 ","4,904 ",MWh
345,경기,매립지가스,사업용,-,-,-,-,-,MWh
346,경기,매립지가스,자가용,-,-,-,-,-,MWh
347,경기,우드칩,사업용,-,-,-,"6,786 ","6,396 ",MWh
348,경기,우드칩,자가용,-,-,-,-,-,MWh
349,경기,목재펠릿,사업용,-,-,-,-,-,MWh
350,경기,목재펠릿,자가용,-,-,-,-,-,MWh
351,경기,폐목재,사업용,-,-,-,-,-,MWh
352,경기,폐목재,자가용,-,-,-,-,-,MWh
353,경기,흑액,자가용,-,-,-,-,-,MWh
354,경기,하수슬러지고형연료,사업용,-,-,-,-,-,MWh
355,경기,Bio-SRF,사업용,"261,955 ","198,697 ","9,807 ",-,-,MWh
356,경기,Bio-SRF,자가용,-,-,-,-,-,MWh
357,경기,바이오중유,사업용,-,"3,461 ",-,"16,321 ","18,346 ",MWh
358,경기,폐가스,사업용,-,-,-,-,-,MWh
359,경기,폐가스,자가용,-,-,-,-,-,MWh
360,경기,산업폐기물,사업용,"32,025 ","12,894 ","15,470 ","3,910 ",-,MWh
361,경기,산업폐기물,자가용,994 ,"1,766 ","3,208 ",47 ,-,MWh
362,경기,생활폐기물,사업용,"11,895 ","11,929 ","4,799 ","6,039 ","45,030 ",MWh
363,경기,생활폐기물,자가용,"74,404 ","99,937 ","95,788 ","93,485 ","49,977 ",MWh
364,경기,SRF,사업용,36 ,-,-,-,-,MWh
365,경기,SRF,자가용,-,-,-,-,-,MWh
